Throw away the chairs whose legs are broken.	en
I adore going to the cinema.	en
Passport, please.	en
Nancy told me about the fire.	en
What are some other nabemono?	en
Which team will win?	en
The man robbed the old man of the bag.	en
Il laissa son chien courir librement dans le champ.	fr
The issue is quite familiar to us.	en
He won but only at a price.	en
He will without doubt succeed in the exam.	en
He is a man of virtue.	en
She appears to have been rich.	en
Ich habe zufällig meinen alten Freund am Bahnhof von Tokyo getroffen.	de
Nie ma powodu, bym tego nie robił.	pl
我們已經做好了最壞的準備。	zh
我能借你的车吗？	zh
¿Cuánto tiempo?	es
禁止入内。	zh
Dieser Betrag beinhaltet die Steuer.	de
Mi ne trovas la ĝustajn vortojn por esprimi mian dankon.	ep
In order to improve the environment.	en
J'aurai terminé le travail avant que tu ne reviennes.	fr
Könnten Sie mir ein Taxi bestellen?	de
That guy is completely nuts!	en
Sie bat ihn, das Fenster zu öffnen.	de
Li ofte veturas al la biblioteko.	ep
Le gosse est une plaie.	fr
Plus du tiers de la population mondiale vit près d'une côte.	fr
Mi ŝuldas al vi 3000 enojn.	ep
Jej wiara w Boga była bardzo silna.	pl
Wir hielten es für eine fliegende Untertasse.	de
¿Por qué tardas tanto en comer?	es
Please put your waste in the bins outside.	en
Je bent nooit te oud om te leren.	nl
Wollt ihr mit mir schlafen?	de
Jutro powinna być piękna pogoda.	pl
Naprawdę piękna pogoda.	pl
Mutti kocht in der Küche.	de
Самая высокая гора Европы — Эльбрус.	ru
Dio kreis Padanion kaj, konstatinte la eraron, kovris ĝin per nebulo.	ep
Le gustan las naranjas.	es
La kafo estas nur varmeta.	ep
我們在那裡上了公共汽車。	zh
Wie können da unbeschädigte Eier unter einem umgestürzten Nest sein?	de
J'ai acheté des fringues.	fr
Aptal parasını çabuk harcar.	tr
Hisleri, görüntüleri, düşünceleri ya da anıları iletmeyen müzik sadece arka fon gürültüsüdür.	tr
È arrivato a mezzanotte.	it
Je vous appelle pour prendre rendez-vous avec vous.	fr
Dices "pobre", pero hay muchos grados de pobreza.	es
Jeden z tych chłopców to wie.	pl
Je suis daltonien.	fr
He gets on my nerves!	en
Tu aimes ces chaussures.	fr
Les nôtres nous approuvent.	fr
Tom doesn't enjoy family gatherings very much.	en
Seu rosto parece ao da mãe.	pt
Men moet een helm opzetten om het hoofd te beschermen.	nl
Habarovsk, Rus Uzak Doğusu'nun en büyük şehirleri arasındadır.	tr
Sinun pitäisi soittaa vanhemmillesi edes kerran kuukaudessa.	fi
Eroavatkohan he?	fi
Tom'un niyeti bunun olması değildi.	tr
Não dá para estudar com tanto barulho!	pt
A zombie brain will eat itself.	en
O gerçekten üzücüdür.	tr
Lui vive accanto a me.	it
O doğru olmak zorundadır.	tr
